name,weight,year,gender
Michael,1,1970,M
James,0.5,1970,M
David,0.333,1970,M
John,0.25,1970,M
Robert,0.2,1970,M
Mark,0.166,1970,M
William,0.142,1970,M
Richard,0.125,1970,M
Christopher,0.111,1970,M
Brian,0.1,1970,M
Scott,0.0909,1970,M
Jeffrey,0.0833,1970,M
Steven,0.0769,1970,M
Kevin,0.0714,1970,M
Thomas,0.0666,1970,M
Timothy,0.0625,1970,M
Joseph,0.0588,1970,M
Daniel,0.0555,1970,M
Paul,0.0526,1970,M
Kenneth,0.05,1970,M
Eric,0.0476,1970,M
Stephen,0.0454,1970,M
Gregory,0.0434,1970,M
Anthony,0.0416,1970,M
Ronald,0.04,1970,M
Donald,0.0384,1970,M
Gary,0.037,1970,M
Todd,0.0357,1970,M
Edward,0.0344,1970,M
Patrick,0.0333,1970,M
Charles,0.0322,1970,M
Douglas,0.0312,1970,M
Keith,0.0303,1970,M
Andrew,0.0294,1970,M
Jerry,0.0285,1970,M
Dennis,0.0277,1970,M
Shawn,0.027,1970,M
Peter,0.0263,1970,M
Terry,0.0256,1970,M
Randy,0.025,1970,M
Raymond,0.0243,1970,M
Bradley,0.0238,1970,M
Roger,0.0232,1970,M
Larry,0.0227,1970,M
Jeffery,0.0222,1970,M
Frank,0.0217,1970,M
Craig,0.0212,1970,M
Benjamin,0.0208,1970,M
Bruce,0.0204,1970,M
Jonathan,0.02,1970,M
Samuel,0.0196,1970,M
George,0.0192,1970,M
Derek,0.0188,1970,M
Mike,0.0185,1970,M
Jerry,0.0181,1970,M
Wayne,0.0178,1970,M
Alan,0.0175,1970,M
Russell,0.0172,1970,M
Bryan,0.0169,1970,M
Phillip,0.0166,1970,M
Bobby,0.0163,1970,M
Danny,0.0161,1970,M
Tony,0.0158,1970,M
Carl,0.0156,1970,M
Johnny,0.0153,1970,M
Phillip,0.0151,1970,M
Jimmy,0.0149,1970,M
Curtis,0.0147,1970,M
Louis,0.0144,1970,M
Martin,0.0142,1970,M
Lawrence,0.014,1970,M
Dale,0.0138,1970,M
Jay,0.0136,1970,M
Gerald,0.0135,1970,M
Rodney,0.0133,1970,M
Arthur,0.0131,1970,M
Barry,0.013,1970,M
Allen,0.0128,1970,M
Dean,0.0126,1970,M
Howard,0.0125,1970,M
Glenn,0.0123,1970,M
Frederick,0.0121,1970,M
Roy,0.012,1970,M
Steve,0.0119,1970,M
Henry,0.0117,1970,M
Harold,0.0116,1970,M
Willie,0.0114,1970,M
Philip,0.0113,1970,M
Victor,0.0112,1970,M
Joe,0.0111,1970,M
Jon,0.011,1970,M
Tom,0.0109,1970,M
Francis,0.0108,1970,M
Walter,0.0107,1970,M
Billy,0.0106,1970,M
Ronnie,0.0105,1970,M
Jim,0.0104,1970,M
Leonard,0.0103,1970,M
Eugene,0.0102,1970,M
Albert,0.0101,1970,M
Lee,0.01,1970,M
Ernest,0.0099,1970,M
Allen,0.0098,1970,M
Theodore,0.0097,1970,M
Clifford,0.0096,1970,M
Edwin,0.0095,1970,M
Alfred,0.0094,1970,M
Norman,0.0093,1970,M
Calvin,0.0092,1970,M
Warren,0.0091,1970,M
Leroy,0.009,1970,M
Gilbert,0.0089,1970,M
Gordon,0.0088,1970,M
Curtis,0.0087,1970,M
Duane,0.0086,1970,M
Bernard,0.0085,1970,M
Melvin,0.0084,1970,M
Jesse,0.0083,1970,M
Oscar,0.0082,1970,M
Lloyd,0.0081,1970,M
Darrell,0.008,1970,M
Clinton,0.0079,1970,M
Vernon,0.0078,1970,M
Leslie,0.0077,1970,M
Alvin,0.0076,1970,M
Eddie,0.0075,1970,M
Floyd,0.0074,1970,M
Leon,0.0073,1970,M
Clyde,0.0072,1970,M
Max,0.0071,1970,M
Edgar,0.007,1970,M
Herman,0.0069,1970,M
Marvin,0.0068,1970,M
Allen,0.0067,1970,M
Glen,0.0066,1970,M
Charlie,0.0065,1970,M
Lester,0.0064,1970,M
Sam,0.0063,1970,M
Freddie,0.0062,1970,M
Ted,0.0061,1970,M
Tommy,0.006,1970,M
Rick,0.0059,1970,M
Rickey,0.0058,1970,M
Ralph,0.0057,1970,M
Clifton,0.0056,1970,M
Nicholas,0.0055,1970,M
Kent,0.0054,1970,M
Kirk,0.0053,1970,M
Reginald,0.0052,1970,M
Terrence,0.0051,1970,M
Manuel,0.005,1970,M
Jorge,0.0049,1970,M
Raul,0.0048,1970,M
Ruben,0.0047,1970,M
Alberto,0.0046,1970,M
Armando,0.0045,1970,M
Jaime,0.0044,1970,M
Julio,0.0043,1970,M
Ramon,0.0042,1970,M
Enrique,0.0041,1970,M
Salvador,0.004,1970,M
Mario,0.0039,1970,M
Ricardo,0.0038,1970,M
Jesus,0.0037,1970,M
Miguel,0.0036,1970,M
Hector,0.0035,1970,M
Guillermo,0.0034,1970,M
Martin,0.0033,1970,M
Javier,0.0032,1970,M
Arturo,0.0031,1970,M
Carlos,0.003,1970,M
Jose,0.0029,1970,M
Juan,0.0028,1970,M
Antonio,0.0027,1970,M
Luis,0.0026,1970,M
Fernando,0.0025,1970,M
Rafael,0.0024,1970,M
Marco,0.0023,1970,M
Pedro,0.0022,1970,M
Sergio,0.0021,1970,M
Alfonso,0.002,1970,M
